,iter,rank,time_train,time_hr,error,hr1_valid,hr1_test,hr3_valid,hr3_test,hr10_valid,hr10_test,mrr_valid,mrr_test
37,2.0,74.0,1.457855463027954,31.292166471481323,0.9608432963617028,0.01,0.004,0.018,0.014,0.03,0.027,0.017741715057821537,0.012524973459596248
38,2.0,76.0,1.1883800029754639,31.751471996307373,0.9603537517292661,0.007,0.009,0.02,0.013,0.03,0.03,0.01620137855300435,0.01496697990961235
39,2.0,78.0,1.2471232414245605,32.26402449607849,0.9624591159993588,0.006,0.003,0.018,0.011,0.027,0.02,0.015054224721934833,0.010011094344013982
40,2.0,80.0,1.1972272396087646,32.43708252906799,0.9620018442719381,0.018,0.016,0.028,0.023,0.037,0.033,0.025047575485181023,0.022165185916144643
41,2.0,82.0,1.2866768836975098,32.458510875701904,0.9595494370140595,0.008,0.015,0.021,0.021,0.029,0.029,0.0171005496312926,0.02157345860671264
42,2.0,84.0,1.297534704208374,33.43141841888428,0.9588933508498343,0.005,0.004,0.017,0.013,0.022,0.03,0.01305074936642816,0.012604365320396809
43,2.0,86.0,1.3177111148834229,33.911837577819824,0.9589404979995548,0.008,0.01,0.017,0.021,0.03,0.034,0.016175904079710528,0.019380785363725356
44,2.0,88.0,1.4683055877685547,33.23481035232544,0.9571439435314268,0.01,0.014,0.016,0.026,0.032,0.039,0.017484301365195694,0.022716112816911365
45,2.0,90.0,1.3787240982055664,33.98548245429993,0.9597927831181169,0.007,0.012,0.016,0.02,0.03,0.035,0.01563017811548259,0.01945846159394484
46,2.0,92.0,1.4106602668762207,34.36412239074707,0.9596807490169307,0.006,0.01,0.016,0.016,0.028,0.04,0.01414681431124375,0.018329550454760046
47,2.0,94.0,1.4991555213928223,35.79639792442322,0.9589656106824264,0.015,0.015,0.021,0.019,0.039,0.031,0.022665197429868108,0.02102644126474534
48,2.0,96.0,1.498985767364502,34.59495568275452,0.9595102985138938,0.011,0.011,0.021,0.021,0.028,0.036,0.01853696530526769,0.019582133904210815
49,2.0,98.0,1.5578138828277588,36.43155860900879,0.9574931630366071,0.009,0.011,0.018,0.017,0.029,0.027,0.016567990227289945,0.01811646195806954
50,2.0,100.0,1.56793212890625,35.83053731918335,0.9589599668275848,0.013,0.014,0.017,0.019,0.033,0.037,0.01891170330479398,0.02109258948926613
51,2.0,102.0,1.677844524383545,37.535534620285034,0.9572780285971199,0.009,0.005,0.017,0.018,0.038,0.039,0.018297631419526287,0.016311441663450124
52,2.0,104.0,1.5659887790679932,40.26750707626343,0.9586004998938276,0.013,0.009,0.022,0.023,0.034,0.046,0.02074875357088764,0.020562499004680643
53,2.0,106.0,1.7779598236083984,37.07339787483215,0.9573423022534147,0.01,0.011,0.026,0.019,0.039,0.043,0.021046632117923212,0.020478374993348508
54,2.0,108.0,1.6052746772766113,37.488418102264404,0.955764237488975,0.012,0.014,0.019,0.024,0.028,0.039,0.019132035623211394,0.023037926315789926
55,2.0,110.0,2.07505464553833,37.90110158920288,0.9554805421417648,0.016,0.016,0.027,0.029,0.043,0.044,0.026133932906148485,0.02648549494664749
56,2.0,112.0,1.6165966987609863,38.55097150802612,0.9513640425500722,0.019,0.013,0.024,0.019,0.032,0.038,0.025122690067217932,0.021249038180482523
57,2.0,114.0,2.184396982192993,38.704875230789185,0.9565447973531743,0.012,0.008,0.018,0.02,0.032,0.03,0.01844301148688751,0.016102821812813993
58,2.0,116.0,2.0123908519744873,38.81771373748779,0.9535902530063094,0.008,0.009,0.014,0.015,0.023,0.03,0.015073169589177825,0.016507458905352195
59,2.0,118.0,1.9594287872314453,40.01759338378906,0.9554094165783453,0.01,0.006,0.018,0.016,0.031,0.032,0.017587611030398288,0.01587824470354455
60,2.0,120.0,1.9900298118591309,39.32213091850281,0.9555896079579259,0.009,0.017,0.024,0.028,0.037,0.042,0.01910215960752142,0.025330666308882907
61,2.0,122.0,2.085455894470215,40.22929286956787,0.9544139593459402,0.012,0.016,0.025,0.024,0.039,0.037,0.021207094612127712,0.02456036973432287
62,2.0,124.0,2.2148098945617676,40.94123435020447,0.9532232243192804,0.009,0.012,0.015,0.023,0.027,0.037,0.016028681006326893,0.021389301246740676
63,2.0,126.0,2.133303165435791,40.86520838737488,0.9526076573975366,0.006,0.009,0.015,0.021,0.038,0.036,0.015629204956543918,0.018737236731438928
64,2.0,128.0,1.991281270980835,41.76605415344238,0.9541206897122101,0.015,0.009,0.022,0.017,0.033,0.039,0.022140016145247906,0.01787726533201219
65,2.0,130.0,2.3195483684539795,41.730122327804565,0.952376103786535,0.015,0.016,0.024,0.023,0.041,0.042,0.024053697040276635,0.02473027379276483
66,2.0,132.0,2.5523080825805664,48.851744413375854,0.9521828209586889,0.015,0.015,0.022,0.03,0.032,0.044,0.022312834778707918,0.025781571866525584
67,2.0,134.0,2.355682849884033,43.08632230758667,0.9509519033693367,0.01,0.016,0.018,0.023,0.028,0.038,0.017910573028833504,0.024008943539634606
68,2.0,136.0,2.1823508739471436,49.05131649971008,0.9513247317901832,0.014,0.016,0.018,0.029,0.034,0.046,0.020711777878765592,0.026661041326696285
69,2.0,138.0,2.736682891845703,43.37808871269226,0.9505656096256385,0.012,0.014,0.023,0.025,0.029,0.041,0.02001263316066635,0.02285255903479018
70,2.0,140.0,2.4685471057891846,50.674766063690186,0.9490183559385186,0.017,0.016,0.024,0.025,0.043,0.042,0.025247236669215783,0.025130335182312263
71,2.0,142.0,2.56017804145813,44.974881172180176,0.9524839193389245,0.008,0.01,0.021,0.021,0.035,0.036,0.018442454849187877,0.02044383905110224
